biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,station,time,latitude,longitude
113085.86437096946,216449.3384068491,250794.37820246743,536187.6177353432,C1_East,2020-10-08,17.944336,-67.002266
108739.3374199557,222547.003638582,251863.3971716441,536187.6177353432,MJ2,2020-10-08,17.968758,-67.076935
105342.5357873642,222547.003638582,252004.28504678747,536187.6177353432,SC,2020-10-08,17.942287,-67.07675
109683.56198347895,217435.8468299254,250841.11177789472,536187.6177353432,ML3,2020-10-08,17.9392,-67.04
109683.56198347895,217435.8468299254,250841.11177789472,536187.6177353432,ML2,2020-10-08,17.9394,-67.04
109009.18095363695,222547.003638582,252004.28504678747,536187.6177353432,MJ3,2020-10-08,17.972672,-67.06536
111452.17477338803,217435.8468299254,250464.5535460656,536187.6177353432,G1,2020-10-08,17.97034,-67.04777
109009.18095363695,217435.8468299254,250841.1117778948,536187.6177353432,ML1,2020-10-08,17.939789,-67.04021
106338.04185265533,222547.003638582,255575.71035472225,536187.6177353432,L1,2020-10-08,17.943077,-67.05644
109009.18095363695,217435.8468299254,250801.0970652394,536187.6177353432,E1,2020-10-08,17.954287,-67.050186
113054.65083887412,216449.3384068491,250794.37820246743,536187.6177353432,C3_West,2020-10-08,17.943748,-67.009384
113085.86437096944,216449.3384068491,250794.37820246743,536187.6177353432,C2_Center,2020-10-08,17.943632,-67.00623
106691.21247070783,222547.003638582,251863.3971716441,536187.6177353432,MJ1,2020-10-08,17.967564,-67.07653
109009.18095363698,222547.003638582,252231.10148668243,536187.6177353432,MJ4,2020-10-08,17.973782,-67.06234
40131.90418067642,48936.11253203089,106647.16800939568,338675.8787037407,ML1,2020-11-05,17.939789,-67.04021
40310.07167818056,50211.21004028153,107374.3445363604,338675.8787037407,MJ4,2020-11-05,17.973782,-67.06234
39918.0288621764,50211.210040281534,107374.3445363604,338675.8787037407,MJ3,2020-11-05,17.972672,-67.06536
39034.35598746807,50211.210040281534,107259.84706893636,338675.8787037407,SC,2020-11-05,17.942287,-67.07675
40816.04731805559,48936.1125320309,106647.16800939568,338675.8787037407,ML3,2020-11-05,17.9392,-67.04
39189.16041171424,50211.210040281534,106295.86995175765,338675.8787037407,MJ2,2020-11-05,17.968758,-67.076935
40816.04731805559,48936.1125320309,106647.16800939568,338675.8787037407,ML2,2020-11-05,17.9394,-67.04
40310.07167818056,50377.86241035657,107550.45175779123,338675.8787037407,L1,2020-11-05,17.943077,-67.05644
41835.36130149916,48147.66828648065,107271.59971098349,338675.8787037407,C3_West,2020-11-05,17.943748,-67.009384
41835.36130149916,48147.66828648065,107271.59971098349,338675.8787037407,C2_Center,2020-11-05,17.943632,-67.00623
41835.36130149916,48147.66828648065,108089.56139530792,338675.8787037407,C1_East,2020-11-05,17.944336,-67.002266
39189.16041171424,50211.210040281534,106295.86995175765,338675.8787037407,MJ1,2020-11-05,17.967564,-67.07653
40571.71196375936,48936.11253203089,106108.7018794656,338675.8787037407,G1,2020-11-05,17.97034,-67.04777
40310.07167818056,48936.11253203089,106512.41309673277,338675.8787037407,E1,2020-11-05,17.954287,-67.050186
5130.92903903554,6122.583531168214,9833.347984006714,20524.83148420623,MJ3,2020-11-12,17.972672,-67.06536
5130.92903903554,6122.583531168213,9833.347984006714,20524.83148420623,SC,2020-11-12,17.942287,-67.07675
5130.92903903554,6108.06427135026,9818.82872418876,20524.83148420623,ML3,2020-11-12,17.9392,-67.04
5130.92903903554,6108.06427135026,9818.82872418876,20524.83148420623,ML2,2020-11-12,17.9394,-67.04
5130.92903903554,6108.064271350259,9818.82872418876,20524.83148420623,ML1,2020-11-12,17.939789,-67.04021
5130.92903903554,6122.583531168213,9833.347984006714,20524.83148420623,MJ4,2020-11-12,17.973782,-67.06234
5130.92903903554,6122.583531168213,9833.347984006714,20524.83148420623,MJ2,2020-11-12,17.968758,-67.076935
5130.929039035541,6122.583531168213,9833.347984006714,20524.83148420623,MJ1,2020-11-12,17.967564,-67.07653
5130.929039035541,6108.06427135026,9818.82872418876,20524.83148420623,E1,2020-11-12,17.954287,-67.050186
5130.92903903554,5245.000601833913,8955.765054672413,20524.83148420623,C3_West,2020-11-12,17.943748,-67.009384
5130.929039035541,5245.000601833913,8955.765054672413,20524.83148420623,C2_Center,2020-11-12,17.943632,-67.00623
5130.929039035541,5245.000601833913,8955.765054672413,20524.83148420623,C1_East,2020-11-12,17.944336,-67.002266
5130.929039035541,6122.583531168214,9833.347984006714,20524.83148420623,L1,2020-11-12,17.943077,-67.05644
