biomass_t_r100,biomass_t_r250,biomass_t_r600,biomass_t_domain,station,time,latitude,longitude
736719.6734242819,746134.4235601504,2561152.1560307303,5095345.071906401,C1_East,2026-08-24 12:00:00,17.944336,-67.002266
737941.4450553383,745865.1989128492,2559422.067165211,5095345.071906401,C2_Center,2026-08-24 12:00:00,17.943632,-67.00623
737070.529738277,745865.1989128491,2559285.99506013,5095345.071906401,C3_West,2026-08-24 12:00:00,17.943748,-67.009384
740182.4744108838,754834.3734528666,2575081.940494811,5095345.071906401,E1,2026-08-24 12:00:00,17.954287,-67.050186
743744.0701375349,763356.5733588117,2575881.9357236256,5095345.071906401,G1,2026-08-24 12:00:00,17.97034,-67.04777
742459.4158317115,790173.9521499026,2614537.2519120164,5095345.071906401,L1,2026-08-24 12:00:00,17.943077,-67.05644
744525.42878491,786411.009887627,2607742.642291277,5095345.071906401,SC,2026-08-24 12:00:00,17.942287,-67.07675
744954.9041644582,792916.0308576226,2606682.152901261,5095345.071906401,MJ1,2026-08-24 12:00:00,17.967564,-67.07653
746717.7034402563,796560.6501865878,2609242.5591018875,5095345.071906401,MJ3,2026-08-24 12:00:00,17.972672,-67.06536
745792.2162298231,797558.4433851187,2609474.280294705,5095345.071906401,MJ4,2026-08-24 12:00:00,17.973782,-67.06234
737160.8766681973,758053.8212728129,2580933.1080955425,5095345.071906401,ML1,2026-08-24 12:00:00,17.939789,-67.04021
737580.0099039519,758491.0938296699,2580933.1080955425,5095345.071906401,ML2,2026-08-24 12:00:00,17.9394,-67.04
737580.0099039519,758491.0938296699,2580933.1080955425,5095345.071906401,ML3,2026-08-24 12:00:00,17.9392,-67.04
746633.9211496435,792749.2074594102,2606682.152901261,5095345.071906401,MJ2,2026-08-24 12:00:00,17.968758,-67.076935
608627.6994731769,710472.4333103802,2325677.23397831,4443304.007137522,ML2,2026-08-25 12:00:00,17.9394,-67.04
608238.6857481996,710098.1593227859,2325677.23397831,4443304.007137522,ML1,2026-08-25 12:00:00,17.939789,-67.04021
613980.72255042,742509.2740121945,2349343.0313107143,4443304.007137522,MJ4,2026-08-25 12:00:00,17.973782,-67.06234
613762.988706906,742031.3649514416,2349117.78836029,4443304.007137522,MJ3,2026-08-25 12:00:00,17.972672,-67.06536
615186.9852621887,740085.5212535167,2346585.2895109667,4443304.007137522,MJ2,2026-08-25 12:00:00,17.968758,-67.076935
613526.9016642144,740085.5212535165,2346585.2895109667,4443304.007137522,MJ1,2026-08-25 12:00:00,17.967564,-67.07653
610081.826214514,709497.3813387122,2320000.8488286575,4443304.007137522,E1,2026-08-25 12:00:00,17.954287,-67.050186
612877.9340767321,714682.7879656806,2320794.627937707,4443304.007137522,G1,2026-08-25 12:00:00,17.97034,-67.04777
609512.3377896101,698219.8863759727,2302272.4234942095,4443304.007137522,C3_West,2026-08-25 12:00:00,17.943748,-67.009384
610307.5618057597,698219.8863759725,2302301.4693686594,4443304.007137522,C2_Center,2026-08-25 12:00:00,17.943632,-67.00623
608931.8261271538,698401.5373133516,2304011.9622911457,4443304.007137522,C1_East,2026-08-25 12:00:00,17.944336,-67.002266
608627.6994731769,710472.4333103802,2325677.23397831,4443304.007137522,ML3,2026-08-25 12:00:00,17.9392,-67.04
608594.9335039217,738424.2799974277,2354360.3469597567,4443304.007137522,L1,2026-08-25 12:00:00,17.943077,-67.05644
610744.7816040965,734980.6592243271,2347638.2866485547,4443304.007137522,SC,2026-08-25 12:00:00,17.942287,-67.07675
